Gene names,F1,F2,Category
FOXA1,6.271127701,2.032501221,NA
KMT2D,6.053113937,6.68870608,General
TFAP2C,6.001197179,6.250241597,NA
ARID1B,5.880346298,6.225798925,General
PRR12,5.712416967,6.441666285,NA
PIAS3,5.345484416,5.182229996,General
IRX4,5.081327438,5.629553477,NA
BCOR,4.819023768,5.737635295,General
PHF21A,4.587567012,5.343529383,NA
TCF20,4.445734024,5.176596324,NA
JMJD1C,4.3371919,4.692526499,General
NCOR1,4.253364563,5.226998011,General
EP300,4.238875707,4.800065994,General
FBRS,4.213761648,4.929789861,NA
NCOR2,4.080492655,4.590267181,General
CIC,4.040390015,4.312117894,NA
GRHL1,3.984584808,4.579538345,Lineage Specific
SRSF10,3.905834198,1.5693868,NA
ZBTB20,3.874093374,4.530312856,NA
ZNF362,3.78595988,3.918432236,NA
PIAS1,3.768798192,4.567329407,General
ZNF217,3.767201742,4.444183985,NA
MLH1,3.73450915,3.669684092,NA
NCOA2,3.669610977,4.356812795,General
MAML1,3.64176178,4.13004748,NA
BCL6,3.622018814,3.474899292,NA
GATA2,3.568675359,4.183731715,Lineage Specific
SEC24D,3.517213821,3.254092534,NA
SKI,3.504492442,3.399080276,NA
ZNF384,3.499161402,3.960322062,NA
TET2,3.455032984,3.434614817,NA
TBX3,3.443622589,3.754924138,NA
AR,3.355484009,4.549882889,Lineage Specific
ZHX2,3.35410881,4.651161194,NA
PITX1,3.326438904,4.067745209,NA
ELMSAN1,3.236001968,4.661689758,NA
CASZ1,3.232498805,3.801914851,NA
ARID1A,3.224240621,3.577371597,General
ILKAP;ILKAP3,3.160012563,2.105353673,NA
GSE1,3.059089661,4.219120661,NA
FOXK1,3.005155563,3.651748657,NA
HIVEP1,2.946959813,3.530017853,NA
CHD6,2.911579768,3.723203659,NA
PIAS2,2.843491872,2.895034154,NA
TLE3,2.823539098,3.707190832,NA
ZBTB42,2.771910985,3.276485443,NA
NFIA,2.755893071,2.465368907,NA
KDM6A,2.722021103,3.522598902,NA
AHDC1,2.69629542,3.118700027,NA
MYT1,2.669987996,3.759211858,NA
FOXP1,2.638608932,2.761948268,NA
CUX1,2.630584717,2.43366305,NA
ZBTB9,2.605454127,2.493508657,NA
SOX2;SOX21;SOX1;SOX3,2.581760406,2.807116826,NA
SMARCA2,2.557713826,2.546519597,General
RREB1,2.541528066,2.873610179,NA
MYBL2,2.540891012,2.750710169,General
CREB1;CREM,2.506598155,2.20320638,NA
HYOU1,2.396149953,2.319802602,NA
LIN9,2.372623444,2.907375971,NA
NR2C2,2.325187047,2.451986313,NA
DDX19A;DDX19B,2.261840185,1.563070933,NA
ZNF281,2.254568736,2.826141357,NA
TFAP4,2.249340057,0.452378591,NA
PHF12,2.183481852,2.532211939,NA
FOXP4,2.18279012,1.392672857,NA
NACC1,2.166674932,2.240486145,NA
HOXB13,2.162390391,2.999668757,Lineage Specific
HOXC9;HOXB9;HOXD9,2.156243006,2.732933044,NA
ATF7,2.149798711,2.416249593,NA
CAND1,2.148085276,3.182399114,NA
TRPS1,2.140038808,2.142266591,NA
KIFC1,2.129550934,2.388039271,NA
DPF2,2.119292577,2.765920639,NA
LIN54,2.104151408,2.03573672,NA
SLFN5,2.081821442,0.130283991,NA
CEBPB,2.068261464,1.902839661,NA
ZHX3,2.051263809,2.368469238,NA
PTGES3,2.004727046,1.497568766,NA
RAB2A;RAB2B,1.990144094,-2.442146301,NA
ZNF24,1.974746068,3.081373851,NA
HTATSF1,1.974737803,2.857163111,NA
MED13,1.973075231,3.417744319,NA
UFD1L,1.969578425,1.955294927,NA
ZKSCAN4,1.936168671,1.526929855,NA
RFX5,1.929599762,2.024271011,NA
ZFHX3,1.91070048,2.861019135,NA
RBPJ,1.895154953,2.61431694,NA
NIPBL,1.893196742,3.258609772,NA
TUBG1;TUBG2,1.891798655,2.109927495,NA
BACH1,1.8860569,0.943617503,NA
GLTSCR1L,1.882659276,2.302952449,NA
RAB18,1.826421102,1.889746984,NA
TEAD1,1.780054092,2.278151194,NA
UBN2,1.777268092,2.206061045,NA
COPG2,1.774821599,2.058977763,NA
PPIL2,1.772042592,2.100923538,NA
PRDM2,1.739854177,1.857167562,NA
YY2;YY1;ZFP42,1.723911921,2.259709676,NA
DNM2,1.720439275,1.964443207,NA
ATN1,1.706863403,2.280342738,NA
ZBTB33,1.698886236,2.580441157,NA
GLTSCR1,1.698838552,2.440577189,NA
JUND,1.68998909,2.035669327,NA
CLTCL1,1.689813614,1.634610494,NA
RNF213,1.688545227,1.714654287,NA
TNRC18,1.684590658,3.309981664,NA
WIZ,1.666814804,2.395547231,NA
EXOSC8,1.659697851,2.357586543,NA
GRHL2,1.651356379,1.772012075,Lineage Specific
SAP130,1.650639216,2.356508255,NA
SIX5,1.646345139,1.944321314,NA
S100A2,1.638989766,2.473574956,NA
IQGAP1,1.623896281,1.131247838,NA
KIF4A,1.620421092,2.523844401,NA
MEF2D,1.607851028,1.898088455,NA
PRKCD,1.591023127,1.196696599,NA
BAHCC1,1.590475082,3.655017217,NA
PPP2R2A;PPP2R2D,1.588873545,1.577782949,NA
C9orf114,1.585943858,-0.446146011,NA
NTPCR,1.581466675,1.249485652,NA
GLUD1;GLUD2,1.568854014,0.860481898,NA
PFKL,1.560714722,2.3981088,NA
SNRPC,1.511713664,2.162184397,NA
NFIC,1.50149854,1.781783422,NA
ERP44,1.469264348,1.65954717,NA
LAMTOR4,1.465663274,1.166315079,NA
SSR3,1.465183894,0.994126002,NA
ATP11A,1.462705612,2.336544037,NA
7-Sep,1.459240595,1.520271301,NA
KAT7,1.443695704,1.36051623,NA
SRCAP,1.433983485,1.688262939,NA
AP1M2,1.433826447,0.639001846,NA
MAX,1.411043803,0.637110392,NA
ETF1,1.40590477,1.596748988,NA
SMARCE1,1.400569916,1.687613169,NA
ZNF512B,1.400137583,2.423305511,NA
,1.397504807,3.145921071,NA
SEC24C,1.390375137,1.33358256,NA
CHD8,1.369565964,1.502598445,NA
MED14,1.364392598,1.621454239,NA
ACSL3,1.359484355,1.396079381,NA
PSMC5,1.356430689,1.353053411,NA
TMEM165,1.341612498,0.882323583,NA
DHX40,1.333403905,2.416692098,NA
C2orf47,1.330984116,0.995762507,NA
GPR179,1.328837077,0.009372075,NA
ZNF609,1.326363246,2.463939667,NA
SBDS,1.322620392,2.625476201,NA
CSTB,1.319220861,0.424069722,NA
ZBTB39,1.317572276,1.525496165,NA
ESRP1,1.313561757,1.350020727,NA
ACTR2,1.308492025,1.417687098,NA
HSP90B1,1.301849365,1.640357971,NA
UBN1,1.298723221,2.272672017,NA
EXOC4,1.280043284,2.106719971,NA
EIF3L,1.271143595,0.973758698,NA
ACBD3,1.266656876,1.059157054,NA
USP11,1.258111954,2.413967133,NA
BMI1;COMMD3-BMI1,1.256159465,1.892692566,NA
MLEC,1.247608185,1.315895716,NA
TM9SF2,1.246482213,0.806748708,NA
SMARCC2,1.240942001,1.531698227,NA
CENPC,1.239991506,1.356435776,NA
EHF,1.23793602,1.484409968,NA
SEC23B,1.237213771,1.106238047,NA
EIF2AK2,1.236950556,1.181844711,NA
USMG5,1.232297262,1.339201609,NA
DNTTIP1,1.231117884,2.089162191,NA
DHRS13,1.223061879,1.319274267,NA
ZNF174,1.221949259,1.761056264,NA
GATAD2A,1.207410177,1.815525691,NA
STAG1;DKFZp781D1416,1.205186208,1.159425735,NA
RAI1,1.204593023,1.128236771,NA
ZNF148,1.20446078,1.904660543,NA
GNL3L,1.194646835,1.032314936,NA
ZNF462,1.193790436,1.618022283,NA
VEZF1,1.18271637,2.016995748,NA
KDELR2,1.177631378,0.889939626,NA
OAS3,1.169346491,2.823270798,NA
HIVEP2,1.168371836,1.292547862,NA
CHD7,1.165763855,0.778494517,NA
PIGQ,1.160168966,0.939159393,NA
CTBP2,1.156804403,1.522125244,NA
RAE1,1.147642771,1.548511505,NA
SEC61B,1.147602081,1.711287181,NA
HLTF,1.145395915,1.435276667,NA
CKMT1A;CKMT1B,1.140406926,1.136315028,NA
DNAJA1,1.121294657,1.23296992,NA
RCOR1,1.09326299,1.729206085,NA
PELO,1.083817164,0.741181056,NA
ZNF292,1.081354777,2.247318268,NA
GTF2A1,1.078952789,0.875123342,NA
DIS3,1.071947734,1.22622172,NA
ATL3,1.068396886,1.339136759,NA
KLK7,1.062225342,0.01639239,NA
ZMYM1,1.053428014,0.593196869,NA
2-Sep,1.052745819,2.200670242,NA
NME1,1.047302246,1.518604914,NA
DYNC1H1,1.047101339,1.124866486,NA
BRD4,1.045578003,1.810077031,NA
CEP112,1.042355855,1.723122915,NA
ERCC4,1.042212168,1.07823499,NA
MED15,1.041659673,2.03853035,NA
MYO1B,1.04082044,-0.2511247,NA
GATAD2B,1.040400823,1.518252691,NA
BRD7,1.039396922,1.79034996,NA
EIF3D,1.038097382,1.211829503,NA
COPG1,1.03654925,0.957622528,NA
MAGEA4;MAGEA10,1.03390948,1.379531225,NA
