Gene names,F1,F2,Category
JMJD1C,8.5174764,9.029964447,General
JUNB,8.51414299,8.864469528,Lineage Specific
ARID1A,9.404957453,8.611689885,General
PRR12,7.51142629,8.317668915,NA
TCF20,7.916910807,8.186738968,NA
FOXA2,0.566948573,7.975269953,NA
RAI1,8.161725362,7.953474045,NA
AHDC1,8.09934934,7.869687398,NA
TFAP2C,1.580421448,7.817677816,NA
NCOR1,8.179588318,7.6925354,General
CUX1,8.107772827,7.561499278,NA
RUNX1,7.214158376,7.497775396,NA
PIAS2,8.642934799,7.467322032,General
JUN,7.203343074,7.44005394,Lineage Specific
KMT2C,7.535090764,7.283412933,General
BCOR,6.669006348,6.86892128,General
LIN54,6.394637426,6.71537145,NA
STAG2,6.72992452,6.648459752,NA
WIZ,6.388904572,6.508379618,NA
RREB1,6.667001088,6.423894246,NA
PIAS3,6.353481929,6.405712763,General
NFIB,6.816116333,6.321036021,NA
ZMYM4,6.957371394,6.174729665,NA
ZBTB21,6.125057856,6.147925695,NA
ZBTB33,6.38071696,6.109008153,NA
ELMSAN1,6.551952362,6.068701426,NA
PIAS1,5.234736125,6.028645833,General
NACC1,6.007852554,5.965332667,NA
EP400,5.840951284,5.948020299,General
ZFHX4,6.369191488,5.943572998,NA
ZNF384,6.008846919,5.883692424,NA
ZNF281,5.6759154,5.859291712,NA
RBM4,5.518725713,5.805987676,NA
PHF21A,5.419774373,5.746178309,NA
LRIF1,5.93090566,5.714031855,NA
NCOR2,4.64208285,5.661419551,General
ZBTB9,4.764750799,5.65362676,NA
ARID1B,4.311438878,5.65096728,General
HOXB13,5.872743607,5.634349187,Lineage Specific
TCF7L2,5.751853307,5.577273051,NA
FOSL2,6.391167323,5.430233637,Lineage Specific
NSD1,5.544305166,5.412785848,NA
EMSY;C11orf30,5.47012647,5.387359619,NA
HOXA13,5.556706111,5.279375076,Lineage Specific
TNRC18,4.159768422,5.243793488,NA
JUND,5.063433329,5.228503545,Lineage Specific
TFAP2D,2.755382538,5.224604925,NA
ATF7,5.306675593,5.223902384,NA
ZNF512B,5.480553945,5.140813192,NA
SMARCE1,6.351652781,5.128362656,General
CREBBP,5.228230794,5.031677246,NA
TRPS1,6.045600891,4.933993022,NA
NFRKB,4.919508616,4.931569417,NA
ZNF362,5.545662562,4.828859329,NA
MED15,4.905658086,4.807322184,NA
MYBL2,4.822738012,4.793954213,General
TFAP2A,4.21460851,4.793537776,NA
SPEN,4.805138906,4.786925634,NA
PHIP,4.73684756,4.761376063,NA
MTA1,5.231619517,4.752641042,NA
TEAD1,4.866808573,4.742972692,Lineage Specific
NDUFA10,4.535624822,4.739776611,NA
ZNF609,4.606163661,4.729211171,NA
MED14,4.91197904,4.629865011,NA
FOXK2,4.626909256,4.585528692,NA
NUDT21,3.736511866,4.571598689,NA
SLX4,4.496045431,4.547164917,NA
NCOA6,4.443892161,4.543929418,NA
UTP20,4.360486984,4.529182434,NA
ZNF148,4.110553106,4.499043147,NA
RAVER1,3.837282817,4.486843109,NA
VEZF1,4.225411733,4.479212443,NA
BCAR2;TRERF1,4.305031459,4.447370529,NA
STAG1;DKFZp781D1416,4.146816254,4.432921092,NA
MED1,4.149877548,4.431987127,NA
NRIP1,4.335603714,4.390993118,NA
GLIS3,4.53491656,4.349592845,NA
NR2C2,4.552319845,4.347304662,NA
RNF169,2.989625295,4.332437515,NA
FOSL1,4.077164968,4.331225713,Lineage Specific
ZNF280C,4.633435567,4.288262685,NA
COPB1,4.018034617,4.277163188,NA
ING3,4.052834193,4.260017395,NA
CHD8,3.698812485,4.23809878,NA
SAP130,4.343235652,4.228961309,NA
ZNF217,3.981713613,4.219407399,NA
TRIM24,4.178815842,4.206640244,General
GATAD2A,3.970767975,4.201104482,NA
BCORL1,4.308995565,4.184049606,NA
SMARCC1,4.668840408,4.179818471,General
ZNF644,4.608464559,4.175852458,NA
GATA2,3.862052917,4.165352503,NA
,4.558220545,4.163750331,NA
CDCA2,3.414709091,4.153546015,NA
FOXK1,2.763643901,4.131999969,NA
CHD6,4.0051651,4.091507594,NA
PWP2,3.831425985,4.08820343,NA
FBRS,3.117349625,4.085713704,NA
TLE3,4.243913015,4.081007004,NA
SMARCD2,5.181312561,4.079589844,NA
SIN3A,4.664797465,4.057745616,NA
CDYL,4.086188634,4.033923467,NA
COPG1,4.352897008,4.018924713,NA
STT3A,3.792730331,4.003635406,NA
SRCAP,3.694850922,3.987659454,NA
EHMT1,4.235785166,3.928091685,NA
SNTB2,4.153121948,3.907996496,NA
DKC1,3.542345683,3.906351089,NA
KMT2A,3.2421875,3.90603892,NA
CD2BP2,3.270224253,3.900819778,NA
BRD4,3.505289714,3.893501918,NA
CREM;ATF1,4.748468399,3.883241018,NA
CSDE1,3.465918859,3.880221049,NA
SLC25A20,3.399597804,3.876633326,NA
MCM3,3.348431269,3.867909114,NA
BPTF,4.551929474,3.862164179,NA
LENG8,3.4806633,3.851175944,NA
MGA,4.002269109,3.822591782,NA
ZFR,3.146291733,3.815636953,NA
MCM5,3.487748464,3.808503469,NA
MECP2,3.642173767,3.804234823,NA
ZNF292,4.224184672,3.799240112,NA
GATAD2B,4.209600449,3.794319789,NA
BRD8,3.635861715,3.793617249,NA
ARID2,3.986593882,3.785811742,NA
DSTN,2.859755198,3.758319219,NA
ZMYM2,4.050071081,3.737512589,NA
