q_Value,Difference,stat,gene_name
0.020323012,4.825258573,1.967800591,HSP90AB2P
0.001801047,2.975180944,4.430423983,TRIM28
0,2.675700506,8.119273938,USP19
0.000680851,2.328249931,4.95156202,ZNF322
0.041537804,2.232672056,1.63372516,ARHGAP23
0.001129412,2.227220853,5.639857524,DDIT3
0.012626917,2.179702123,2.281139315,MTRES1
0.005376455,2.14459006,2.723076185,TRIB3
0.035536259,2.137823105,1.707402395,SDHAF4
0.000780488,2.083647092,5.144832391,ATF4
0.006184049,2.063186646,2.666763654,EML1
0.025486133,1.924344381,1.839692719,TUBB8
0.019263427,1.833614667,2.016264568,ZCWPW1
0.004108108,1.738522212,2.938054444,GALNT11
0.004159754,1.685071309,2.896001079,TM6SF1
0.000588957,1.659077009,4.704526206,ARHGEF2
0,1.642739614,6.322269875,CYP1A1
0.005270777,1.578545252,2.758237738,NIPSNAP2
0.113594463,1.571873029,1.14607807,RPGRIP1L
0.013875672,1.489723523,2.191349516,GFOD2
0.228697353,1.489394188,0.845007095,CREB1
0.114118249,1.483267148,1.144588459,FAM184A
0.000774194,1.461547534,5.137558991,FLNC
0.008993988,1.443710645,2.442607751,FAM171B
0.055256401,1.430565516,1.496087703,KIAA0513
0.078266047,1.42276605,1.324884583,APCDD1
0.159667032,1.413352966,0.991945253,SPO11
0.01879713,1.402862867,2.037492464,TNFRSF21
0.103312315,1.365427653,1.191030879,PAPSS2
0.004927778,1.352653186,2.796674707,PCOLCE
0.092041926,1.323840777,1.243265961,ARGLU1
0.097149476,1.314706167,1.217041488,SNX25
0.136465818,1.312163035,1.063890928,BCL7C
0.055585339,1.310791969,1.493642146,PLA1A
0.043581472,1.295531909,1.604905111,CGRRF1
0.022693924,1.286684354,1.904574564,RACK1
0.004983988,1.282200178,2.837690203,RPS3
0.050701118,1.267460505,1.534928382,SCGB3A2
0.008691914,1.259697914,2.463907427,PTMA
0.001728643,1.238286336,4.356817866,SGF29
0.004898426,1.227939606,2.825284817,GSTM1
0.003769585,1.211296082,3.342013134,SLC31A1
0.007313901,1.18832461,2.577597822,CD47
0.165172816,1.1797568,0.977791218,TPM1
0.013312903,1.163593928,2.232677378,IGFBP1
0.062409705,1.16226991,1.433872598,TESK1
0.017401239,1.161387761,2.084420254,WDR53
0.193756956,1.154363632,0.916396055,SURF6
0.088584856,1.152953466,1.264407227,PET100
0.073630573,1.149639765,1.353333059,GPHN
0.004127796,1.139246305,2.943065099,CSTF2
0.003867612,1.131200473,3.364666882,BBC3
0.112739444,1.126244227,1.151021016,CRCP
0.000721805,1.119054794,5.062845921,BHLHA15
0.041457656,1.117889086,1.634164838,ZNF726
0.018580052,1.112500191,2.043122202,ZBTB38
0.131535774,1.111402512,1.081225472,SPATA2
0.013268608,1.107049624,2.235599111,TAF15
0.123055172,1.083688418,1.110079254,HYKK
0.002491349,1.079250018,3.81006537,RASSF8
0.041782498,1.074931145,1.629272754,MAPK6
0.027431806,1.072399139,1.816001339,GNMT
0.025283977,1.045989037,1.846570688,PLEKHO2
