q_Value,Difference,stat,gene_name
0.002021574,-0.740272522,-2.650954414,SERPINB6
0.001216819,1.639026324,2.946598721,MRPL51
0.033749726,0.334797859,1.360517646,PSMB3
0.15129273,0.161982218,0.849373786,LENG9
0.494313569,-0.681401571,-0.513517938,MTHFD1L
0.056782653,0.417568525,1.169042951,VPS11
0.011222466,-0.394575755,-1.786233037,TJP1
0.000422081,-2.588896751,-3.536984949,SMIM26
0.013993656,0.256241481,1.70082139,AAK1
0.000273372,0.8034935,4.084806191,TXNRD2
0.077412446,-0.938117981,-1.06190412,FADS1
0.15799707,-1.109282811,-0.836147869,EIF4G3
0.006689108,-0.329063416,-2.023464853,NAA15
0.004700446,-0.538137118,-2.23007046,RPS15
0.000271969,0.664073308,4.071499037,GATD3;GATD3B
0.008351801,-1.6742932,-1.916159146,KDM4B
0.119805173,0.337980906,0.919291801,DDX46
0.001249455,0.730038007,2.937809371,PPA2
0,-1.399172465,-6.310354566,TTC8
0.443274909,-0.241729101,-0.550190745,EPB41L1
0,1.362230619,6.650733083,RNASEK
0.936092025,-0.101521492,-0.093226227,ALDH3A2
0,-1.208557765,-6.177006042,HLA-C
0.003289584,2.010848681,2.373699596,RPP21
0.007928088,1.813042959,1.944911309,VARS2
0.099039578,-0.216340383,-0.979178283,DDX39B
0.00063452,1.0528361,3.383217896,PON2
0.892411891,-0.046509743,-0.154238731,CKB
0.107555078,-0.244292259,-0.954516996,SH3D19
0.947262521,0.025249799,0.076797923,DST
0.983767608,0.005560557,0.024522039,EIF4G3
0.023721875,-0.595680237,-1.513147547,ERVK3-1
0.798376675,-0.151555061,-0.263357481,SEC24C
0.007397104,0.596042633,1.984790153,MMP24OS
0.078203977,-0.166294098,-1.057043185,HLA-A
0,1.887839635,10.28887636,TXNRD1
0.006010896,0.331728617,2.100348604,PLEKHA7
0.587217162,0.091821353,0.446099671,RALGAPA1
0.10524869,-0.253781637,-0.961228721,FARP1
0.000332931,-2.018411954,-3.947346354,KIAA1671
0.001582851,-0.570606867,-2.803709283,FAM193A
0.164948334,-0.936728795,-0.823690342,DPY19L1
0.772883092,-0.074527423,-0.288604538,MSANTD7
0.007436286,0.394601822,1.981302469,PIGT
0.025041835,-0.429110845,-1.483070235,ENSA
0,-1.611140887,-5.695754865,PRRC2C
0.004712716,-1.602546056,-2.222643195,LOC122513141
0.013565809,0.592059453,1.71545929,CASK
0.00183634,-0.615430832,-2.684385483,EPB41
0.01218998,-1.830420812,-1.756124712,ATXN2
0.948447131,0.018882434,0.074363884,BPTF
0.061115474,0.277979215,1.144940742,BRAF
0.076128742,-0.887178739,-1.067030756,SAMHD1
0.184921664,-0.680496534,-0.788958056,ATXN2
0.004689366,0.974245071,2.224719431,ABRAXAS1;SMARCA4;VPS45
0.00033865,0.698858897,3.985119845,ACTB
0.060735931,-0.257570903,-1.147158998,KCTD1
0.740152888,0.144341151,0.31976736,LARP1B
0.359737573,-0.122687658,-0.610460279,IDE
0.037163519,-1.121934255,-1.3237221,ANKS1A
0.025646834,0.725881894,1.468006789,VKORC1L1
0.176182369,0.19402949,0.803308001,HNRNPL
0.926962436,0.079891841,0.106602411,RAB12
0,-2.977408727,-7.329813957,KCNN2
0.846319769,0.037054698,0.210815864,MPRIP
0.809355789,0.049406052,0.251351863,EEF1AKMT2
0,-1.277239799,-6.09610219,CLUH
0.252793228,0.126824379,0.703454258,FAM120A
0.000399577,1.282938004,3.685316486,SART3
0.025562787,0.466741562,1.469011691,PDIA4
0.00102515,0.633357684,3.150172677,FECH
0.04386366,-0.590284348,-1.259635314,ZNF75A
0.006862623,0.515412331,2.016917669,SPCS1
0.424860322,-0.124222438,-0.562078685,UFSP1
0.667627987,0.109308879,0.381953902,SACM1L
0.005389805,-0.92623806,-2.152639662,TUG1
0.181401926,-0.412415504,-0.79451366,CHMP1A
0.819288412,-0.340715726,-0.240961601,PTBP2
0.000717181,0.917540232,3.326972471,GPX1
0.001026379,0.875225385,3.154084347,HSPA9
0.866247745,0.080363592,0.18710314,EIF3E
0.654915888,-0.091945012,-0.392547341,WDR26
0.011841429,-0.466296196,-1.768038696,G3BP2
0.004611889,0.834089279,2.241220696,MACROH2A2
0.46830387,0.397491455,0.531835147,DNMT1
0.178291475,0.632213275,0.799801057,PABPC4
0.856760331,0.059295654,0.199110534,IMPDH2
0.024448497,-0.299790064,-1.496161631,PRPF40A
0.043799965,0.219607035,1.260238498,CIC
0.005314227,0.924245516,2.167142591,ACADM
0.009529226,-0.682492574,-1.863386925,PTPA
0.041858507,-0.282405217,-1.281396587,PKM
0.866229224,-0.044427236,-0.187033864,MYCBP2
0.013381338,-0.876689593,-1.720473041,SACS
0.000334951,-1.120268504,-3.959471367,PRRC2B
0.051447071,-1.273201942,-1.208192638,MAP4
0.000532057,-2.046868324,-3.497165937,MGA
0.018398866,0.454161326,1.604708147,SEC16A
0.03700126,-0.248184204,-1.324992807,EIF4E2
0.998769132,-0.000461578,-0.001826913,NKRF
0.117049818,0.184762001,0.927706067,G6PD
0.167103037,-0.191867828,-0.819067623,LIMS1
0.006077321,-0.387880961,-2.088076104,SFPQ
0.462593936,0.098327001,0.535883278,FXR1
0.722355352,0.086686134,0.335882868,ARF1
0.000572788,-2.775456746,-3.484216393,GULP1
0.995354326,0.002815564,0.006695869,CHD3
0.000106509,-0.985454241,-4.993895256,GLS
0.005315587,1.23850282,2.167579574,HNRNPD
0.982473593,-0.006622314,-0.026096748,HUWE1
0.003184706,0.358863195,2.386041956,MACROH2A1
0.055858228,0.610446612,1.176693438,H1-10
0.610045443,-0.070514679,-0.428967059,USP9X
0.960413039,0.023507754,0.058461842,EPS15
0.002135498,-0.68887488,-2.61448872,SLAIN1
0.031426571,0.437719981,1.38676167,GRIPAP1
