q_Value,Difference,stat,gene_name
0.029749347,-6.213337262,-1.875840869,CCT6B
0,-5.647678375,-12.31774129,DIAPH3
0,-5.521008492,-7.712880243,FITM2
0,-5.021429062,-13.73091388,CLSPN
0,-4.935023944,-6.945543328,TMEM161B
0,-4.702656428,-7.181080233,PCLAF
0,-4.677875519,-16.33358274,CHEK1
0,-4.574140549,-18.76258186,CDKN3
0,-4.566484133,-6.807727882,UBE2T
0,-4.337933222,-18.90498375,FANCA
0,-4.221834501,-13.84566105,CCNA2
0,-4.070904414,-11.57214948,RRM2
0,-3.971288045,-22.59338916,UBE2S
0.000393975,-3.965114276,-4.157212814,ZNF496
0,-3.95759805,-15.17120679,ASF1B
0.000784541,-3.955773989,-3.799129536,CDC20
0.000350282,-3.94290034,-6.035086686,PRAME
0.000322497,-3.940291087,-4.39549316,NARF
0.000312343,-3.930493037,-5.791161802,SCD
0,-3.92728583,-10.20272415,HELLS
0,-3.907013575,-6.922025519,AMMECR1L
0.036071341,-3.87681516,-1.788593583,PRUNE2
0,-3.833754539,-11.71346993,CYREN
0,-3.828588486,-11.32730228,GMNN
0,-3.823445002,-7.776189445,RHBDD2
0,-3.803623835,-8.847302367,SAPCD2
0,-3.773572286,-6.427038723,CDKN2A
0,-3.748258909,-14.4627526,UBE2C
0,-3.732294718,-10.96180735,CENPF
0,-3.72307841,-8.249620848,EXO1
0,-3.660204252,-7.632608759,MCM9
0,-3.659889539,-18.51197237,MPP2
0,-3.65554587,-8.802552298,ZWINT
0,-3.630716642,-7.571114319,BIRC5
0,-3.624347687,-12.27445202,MAGED1
0.000233083,-3.585335096,-5.173667831,POLE4
0,-3.561442693,-10.97577428,KIF20A
0.000262712,-3.550471306,-5.406851929,CDCA4
0,-3.52384599,-11.5630657,FANCD2
0,-3.516326586,-9.312053811,FADS2
0.000215652,-3.494797707,-5.018401683,RBL1
0.000317542,-3.493431727,-4.360336474,FDFT1
0,-3.466141065,-6.507986208,BRIP1
0,-3.464393616,-12.13126914,HJURP
0.000240777,-3.463196437,-5.23513653,SUV39H1
0,-3.46181043,-11.05270795,ARHGAP11A
0,-3.461668332,-9.816134613,NCAPD3
0.000347339,-3.432584127,-6.005476076,CCND1
0,-3.414379756,-19.82574561,SKP2
0,-3.398784955,-6.665756605,IL27RA
0,-3.394961039,-25.07068513,P3H4
0,-3.371475856,-22.23992302,TYMS
0.000227106,-3.345581373,-5.13730276,ZBED1
0.000283105,-3.34250164,-5.5235777,KIF18B
0.000387685,-3.325137456,-4.123052954,FAM199X
0,-3.323870659,-6.310906889,IL1B
0.000276786,-3.315902074,-5.505316399,EEF2K
0,-3.315571149,-16.5503181,FANCI
0.000320413,-3.31549263,-5.866685985,FAM111B
0,-3.30871582,-9.379596552,SPA17
0,-3.2655255,-6.693835185,DTL
0.000214162,-3.260715485,-4.985390871,PNMA1
0.000252033,-3.250039736,-5.320653817,CKS2
0,-3.245873769,-9.381264522,CKS1B
0,-3.231643677,-6.359547004,IP6K2
0.000276169,-3.230265617,-5.499386444,RUNDC1
0.00097491,-3.216113091,-3.647367771,PRXL2C
0.000314721,-3.212363243,-5.81543056,MGMT
0.002195668,-3.182678223,-3.295838371,PPARG
0.009317897,-3.174066861,-2.464516604,ICA1
0.000198083,-3.161166191,-4.828294446,COA5
0.000397196,-3.155767759,-4.176830351,USP1
0,-3.129943212,-10.78021371,CDC25B
0.000329787,-3.12499396,-5.918249318,CHD7
0.000260504,-3.093200366,-5.384383131,KNL1
0.011754339,-3.088371913,-2.337765619,TXNIP
0.001480132,-3.069066048,-3.493356683,INHBB
0.000485939,-3.018339475,-4.095715368,KDM5C
0,-2.986033758,-6.21720849,SGMS1
0.001064091,-2.962179502,-3.599194469,FUNDC1
0.000252546,-2.959280968,-5.32074708,CTNNBIP1
0.008775854,-2.952759743,-2.506341469,FBP2
0.003298108,-2.952245712,-3.02595216,SELENON
0,-2.951716741,-7.610053024,SDC1
0.007293506,-2.933285395,-2.591444829,SGO2
0,-2.929525693,-10.1923912,ODC1
0.00148505,-2.928980509,-3.496745555,MLLT11
0.000202946,-2.928045273,-4.882084734,CHURC1
0,-2.925909996,-6.905745555,MRFAP1
0.00026383,-2.899733543,-5.41001741,AOX1
0.000567132,-2.899055163,-4.008767414,DEPDC1B
0,-2.898827553,-11.76833177,ORC6
0,-2.888231913,-6.130370602,PHLDA2
0,-2.888178507,-16.57597308,AXL
0.000241715,-2.862738291,-5.240498357,MECOM
0.000325459,-2.861541748,-5.889630918,TMEM161A
0,-2.856345812,-14.00376688,ZNF503
0,-2.852744738,-9.541598691,HTRA1
0,-2.849321047,-7.353462633,MIS18BP1
0.000216028,-2.848476728,-5.022779867,UBL5
0,-2.817137718,-17.46271501,HOXB13
0.002757254,-2.813672384,-3.192978756,DNMT3A
0.004007495,-2.81050396,-2.944409348,SPPL3
0,-2.797164917,-8.186974721,IFI44
0.002975317,-2.776960055,-3.068166056,TRAF4
0.000191358,-2.755152067,-4.77572733,PISD
0.000220249,-2.753833135,-5.047385687,FEM1B
0.000178932,-2.749213854,-4.598571987,LRATD1
0.000196203,-2.747555733,-4.81340603,ANTKMT
0.000344924,-2.745872815,-4.528894538,SLC35F5
0,-2.745283127,-18.3177287,KEAP1
0.000321244,-2.73320357,-5.875050274,EEF2KMT
0.000625251,-2.730909983,-3.87111228,MELK
0,-2.723760287,-13.09853817,TIMELESS
0.001067841,-2.716340701,-3.608490542,SIVA1
0,-2.710972786,-6.113378972,TNS4
0,-2.703603427,-15.21009806,BRAT1
0,-2.692989985,-7.567991956,OIP5
0.000209814,-2.686981519,-4.953809126,CHST14
0,-2.684531848,-11.29091338,APOB
0.000299879,-2.672039668,-4.226563309,IFFO2
0.032578512,-2.659298579,-1.834340214,NIN
0,-2.659258842,-15.76990204,ATAD2
0.000321244,-2.65324529,-4.384128789,CDK5RAP1
0,-2.651694616,-10.27241177,SOX9
0,-2.651394844,-6.667873419,NAPEPLD
0,-2.643539429,-7.531840718,MIS18A
0.000302808,-2.636411985,-4.245933335,RSAD1
0.000802372,-2.632279396,-3.841579896,OBSL1
0.018677774,-2.627637227,-2.099396467,FAM184A
0,-2.626237233,-11.24506637,ASPM
0.015234008,-2.594292641,-2.196898096,ELK3
0,-2.592678388,-10.89573788,PLK1
0,-2.592080116,-7.084693741,TOR3A
0.00219076,-2.591380119,-3.293919265,SEL1L3
0.000189893,-2.580814362,-4.734379033,ZNF584
0.000624,-2.576681455,-3.869630571,TLE5
0.003531695,-2.572540601,-3.009423482,EXTL2
0.000226691,-2.569668134,-5.132929486,ARMC5
0.000215278,-2.563505491,-5.01062756,CUEDC2
0.000303922,-2.549593608,-5.747949975,UNG
0.000324607,-2.546169599,-4.414636271,PTOV1
0.000821818,-2.543894768,-3.677241352,SGO1
0,-2.541869164,-10.73598747,ADGRL1
0.000824818,-2.541780154,-3.687514938,EFNB3
0.000227941,-2.541279157,-5.140458972,FAT1
0.002609455,-2.538097064,-3.242385519,SCRIB
0.000187879,-2.527327855,-4.716086393,FADS1
0,-2.520793597,-7.87790456,EIF4EBP2
0.005059789,-2.519866943,-2.821106789,APEX2
0.0001984,-2.518984795,-4.830889122,TRHDE
0.000269565,-2.504248937,-5.451088177,SSNA1
0,-2.491133372,-10.88608364,RAD54B
0.041950307,-2.485583941,-1.714653142,PRR3
0.00032376,-2.480935733,-4.405342832,DNAL1
0.000192248,-2.480718295,-4.78404141,ZNF445
0.000233962,-2.479070346,-5.18847139,RTKN2
0.000222222,-2.477514267,-5.066792549,DDX11
0.001800933,-2.47750473,-3.365968899,PIAS4
0.001608347,-2.476331711,-3.429531109,XRCC3
0,-2.476051013,-7.094530827,SLC35E1
0,-2.463824272,-9.438597435,FIGNL1
0,-2.460490227,-8.187984245,AURKB
0.000251012,-2.457361857,-5.3155011,NRIP1
0.000241245,-2.456456502,-5.237901919,CDT1
0,-2.455504417,-7.799520636,KIF22
0.002943652,-2.453563054,-3.098434984,ROBO1
0.000484848,-2.448507309,-4.090492359,BHLHE41
