q_Value,Difference,stat,gene_name
0.082593785,1.236439069,1.689672622,SERPINB6
0.472474586,0.187856992,0.68684849,ENAH
0.881533733,0.050708135,0.185150467,PSMB3
0.244404664,-0.965967178,-1.033072875,MTHFD1L
0.530849467,0.26680692,0.621277245,LRMDA
0.695014771,0.088553747,0.426078016,VPS11
0.224148285,1.030781746,1.078364283,STOML2
0.614332769,0.47298336,0.523871973,ANK3
0.138417221,-0.999864896,-1.356083523,HMGN3
0.756070192,-0.195790609,-0.352130521,TJP1
0.782913176,-0.520897547,-0.32216814,CYP2D6;CYP2D7
0.956513876,0.032522202,0.074953072,DOCK1
0.43073787,1.281998634,0.734268278,GPS1
0.010013831,-0.967208227,-4.201210057,AAK1
1,0,NaN,CD99
0.041429151,0.725592931,2.240260621,GSTZ1
0.03957029,0.435200055,2.287012191,FDXR
0.058212512,0.723421733,1.943612163,RNF213
0.554738189,-0.195198377,-0.593282522,NAA15
0.078026092,0.422900518,1.722618608,GATD3;GATD3B
0.148170472,1.766058922,1.320859182,PIGBOS1
0.046087284,-0.662859917,-2.128490035,KDM4B
0.675057179,-0.141996384,-0.451711608,DDX46
0.026077803,0.736385663,2.753803115,PPA2
0.984991971,-0.012466431,-0.026157823,EPB41L1
0.67007619,-0.314494451,-0.458114098,RNASEK
0.004991643,1.806549708,5.490122133,HLA-C
0.999532911,0.000234922,0.000704178,RPP21
0.397505161,0.338419914,0.77742518,HLA-A
0.919345037,0.053174655,0.130881954,VARS2
0.004247788,2.995494525,7.750115337,C4A
0.010002861,1.949075063,4.254472955,HLA-C
0.957747064,-0.022251765,-0.073747627,CYFIP1
0.386015356,0.431083043,0.794241666,PON2
0.785696333,0.364326477,0.318263902,NSF
0.137752999,-0.859506607,-1.358185516,SH3D19
0.017681057,-0.950204213,-3.434977674,DST
0.010413133,0.65033404,4.177171374,EIF4G3
0.116291776,0.519456546,1.467523422,ERVK3-1
0.072380552,0.692837079,1.788546383,SEC24C
0.395976893,-0.581492742,-0.779645888,MMP24OS
0.021887399,-3.186302821,-2.979115845,FERMT2
0.810288539,-0.096151352,-0.28590776,HLA-DQB1
0.004920354,1.538236936,5.618986181,HLA-A
0.003947712,2.854931196,7.1347319,HLA-B
0.031058592,1.132780711,2.539725098,HLA-C
0.831367799,0.177558581,0.259950889,TXNRD1
0.020794326,0.786670685,3.089778827,RAB11FIP5
0.042328094,-0.424804052,-2.227771452,PXN
0.075680463,-1.115894,-1.748318118,IRAG2
0.082770169,-0.928345044,-1.687917924,GRAMD1B
