q_Value,Difference,stat,gene_name
0.03972113,1.554624875,2.048638925,SERPINB6
0.128960649,0.316216787,1.356575276,ENAH
0.321054878,0.558664322,0.864911262,PSMB3
0.291719749,1.340604464,0.914269458,MTHFD1L
0.622883378,-0.162676811,-0.513348119,LRMDA
0.004571429,0.795288722,4.018779231,VPS11
0.051254701,1.190706571,1.905731225,STOML2
0.314342166,0.89028422,0.874756552,ANK3
0.298101199,-0.679786046,-0.902911207,HMGN3
0.725472142,-0.223136584,-0.397190595,TJP1
0.8313669,0.482218742,0.264077154,CYP2D6;CYP2D7
0.664497071,0.33884112,0.470082614,DOCK1
0.30217336,-1.089364052,-0.895377437,GPS1
0.001520958,-1.164425214,-6.567271585,AAK1
0.739093791,0.194472949,0.381454598,CD99
0.014429805,0.872460683,2.717114391,GSTZ1
0.644844495,0.179482778,0.491827011,FDXR
0.018105523,0.85040919,2.538345298,RNF213
0.993546096,0.006728808,0.012480456,NAA15
0.62945874,0.10997963,0.506565183,GATD3;GATD3B
0.794893195,0.202763557,0.312126536,PIGBOS1
0.159335716,-0.470909754,-1.234549029,KDM4B
0.649346584,-0.152929942,-0.486912716,DDX46
0.100063929,0.43403244,1.505382035,PPA2
0.540614527,0.253640493,0.598899947,EPB41L1
0.75321268,0.296557744,0.364833727,RNASEK
0.00172549,2.730333328,6.460618419,HLA-C
0.102167327,0.449735006,1.491449741,RPP21
0.010940171,2.478016535,2.904346686,HLA-A
0.790053216,0.156294823,0.318322721,VARS2
0.002998363,2.885182381,5.27120381,C4A
0.003577953,3.874550502,5.157129413,HLA-C
0.856305024,0.07490921,0.230522019,CYFIP1
0.615319877,0.407962481,0.522024408,PON2
0.008826185,-1.742923737,-3.106396308,NSF
0.030272044,-1.342454592,-2.21979383,SH3D19
0.014386539,-0.76225853,-2.717835461,DST
0.006093842,0.707425753,3.585284011,EIF4G3
0.019870509,0.945736567,2.472131882,ERVK3-1
0.00400454,1.518870354,4.506980631,SEC24C
