q_Value,Difference,stat,gene_name
0.513674716,0.318185806,0.690047064,SERPINB6
0.63817578,0.128359795,0.538765102,ENAH
0.420692457,0.507956187,0.815300953,PSMB3
0.092802134,2.306571643,1.905342084,MTHFD1L
0.228720703,-0.429483732,-1.198893023,LRMDA
0.023177515,0.706734975,3.486418232,VPS11
1,0,NaN,STOML2
0.574523319,0.41730086,0.617112612,ANK3
0.61741484,0.32007885,0.562556743,HMGN3
0.95281072,-0.027345975,-0.084558404,TJP1
0.608624579,1.00311629,0.573555957,CYP2D6;CYP2D7
0.723296825,0.306318919,0.43040483,DOCK1
0.104907965,-2.371362686,-1.80961913,GPS1
0.4086681,-0.197216988,-0.833416028,AAK1
0.325872237,-0.254001617,-0.977402391,CD99
0.714637685,0.146867752,0.441907842,GSTZ1
0.490224183,-0.255717278,-0.718400532,FDXR
0.762480143,0.126987457,0.378215956,RNF213
0.771943591,0.201927185,0.362873029,NAA15
0.181241613,-0.312920888,-1.363616396,GATD3;GATD3B
0.224811106,-1.563295364,-1.213860729,PIGBOS1
0.719660468,0.191950162,0.435818272,KDM4B
0.977798699,-0.010933558,-0.043207575,DDX46
0.172549824,-0.302353223,-1.406395337,PPA2
0.463781598,0.266106923,0.754422351,EPB41L1
0.249642458,0.611052195,1.140534725,RNASEK
0.084691169,0.92378362,1.994735575,HLA-C
0.228792195,0.449500084,1.198361671,RPP21
0.058347044,2.139596621,2.362790932,HLA-A
0.826942062,0.103120168,0.283866362,VARS2
1,0,NaN,C4A
0.039141553,1.925475438,2.850114777,HLA-C
0.683914474,0.097160975,0.480483782,CYFIP1
0.982911732,-0.023120562,-0.029967621,PON2
0.083775845,-2.107250214,-2.010158787,NSF
0.198806082,-0.482947985,-1.299657976,SH3D19
0.42429627,0.187945684,0.809398125,DST
0.81193564,0.057091713,0.305082892,EIF4G3
0.321321348,0.426280022,0.986889706,ERVK3-1
0.100491734,0.826033274,1.841780958,SEC24C
0.235766172,0.782559395,1.178184938,MMP24OS
0.044723013,1.27579689,2.724365018,FERMT2
0.190810133,1.203712781,1.325821163,HLA-DQB1
0.236255197,0.479297638,1.175539724,HLA-A
0.007506849,1.698833783,4.535638876,HLA-B
0.037454887,1.389878591,2.88839952,HLA-C
0.027933076,-1.07199351,-3.279917781,TXNRD1
0.601054958,0.184398333,0.582773034,RAB11FIP5
0.014032129,1.022283872,4.029481685,PXN
0.842227129,-0.0754474,-0.259273419,IRAG2
0.275198046,0.663943926,1.082139323,GRAMD1B
0.310126793,0.183927536,1.008840997,RALGAPA1
0.29448264,0.307420413,1.042042307,FAM193A
0.109747899,0.312740326,1.765903735,PLEKHA6
0.970489537,0.039540609,0.057214119,DPY19L1
0.558263827,-0.27715524,-0.634927676,PLCXD2
0.033295117,0.658258438,3.026715943,BAG6
0.055013699,-0.85448424,-2.441068475,DPYSL2
1,0,NaN,HLA-C
0.23031344,-2.033898989,-1.193366573,PIGT
0.407974897,-0.864011765,-0.834326016,PHLDB2
0.997697299,-0.003924688,-0.003509089,ENSA
0.030754325,1.998021444,3.124349069,RPS7
0.306623665,-0.154086431,-1.016732067,EPB41
0.726349374,-0.224565824,-0.426512168,BPTF
0.004920354,-0.798102697,-5.448878826,BRAF
0.055090659,0.659266472,2.444970247,ATXN2
0.76063034,0.076131821,0.382833408,ACTB
0.386408292,0.441414833,0.86999993,RAPGEF2
0.091291139,0.84226799,1.923592548,KCTD1
0.123152142,2.41443793,1.672087201,MCTS2
0.378764739,-0.234265645,-0.882150243,QSER1
0.841140572,0.324309031,0.261456938,IQSEC1
0.547944255,-0.364340146,-0.647654573,LARP1B
0.927459565,0.052248637,0.128045011,ANKS1A
0.255367837,-0.716012001,-1.129466841,VKORC1L1
0.721017883,-0.151548386,-0.433063601,HNRNPL
0.268316241,-0.525933266,-1.098575878,RAB12
0.007632312,-0.97223568,-4.553021707,MPRIP
0.049642803,-1.127797127,-2.565517343,EEF1AKMT2
0.790467684,0.178712527,0.338590736,CLUH
0.715394456,0.183719953,0.440995753,FAM120A
0.290264655,-0.383081436,-1.050814194,PDIA4
0.481146913,0.404881795,0.730841292,TSNARE1
0.967518047,-0.055774689,-0.061389578,LRP8
0.852071536,0.130032539,0.243507244,SPCS1
0.308276351,-0.461725553,-1.012927177,SAMD8
