group,replicate,fastq_1,fastq_2,antibody,control
H660_DMSO_FOXA2,2,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/ds.38cc535511c248048a48528e24d6c930/H660_DMSO_FOXA2_REP_2_S18_L001_R1_001.fastq.gz,,FOXA2,H660_DMSO_Input
H660_DMSO_FOXA1,2,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/ds.6a60a3b5bcaa465dae58e4f79b242455/H660_DMSO_FOXA1_REP_2_S17_L001_R1_001.fastq.gz,,FOXA1,H660_DMSO_Input
H660_DMSO_Input,2,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/ds.ee062f4b47754e0d864f9652b201cd5b/H660_DMSO_INPUT_REP_2_S23_L001_R1_001.fastq.gz,,,
H660_DMSO_FOXA1,1,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_DMSO_F1-ds.460bbcce5ffa49a3a622254df65e84f2/H660_DMSO_F1_S13_L001_R1_001.fastq.gz,,FOXA1,H660_DMSO_Input
H660_DMSO_FOXA2,1,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_DMSO_F2-ds.e9e77d5a30544a5fa382e9c88f4db630/H660_DMSO_F2_S14_L001_R1_001.fastq.gz,,FOXA2,H660_DMSO_Input
H660_DMSO_Input,1,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_DMSO_INPUT-ds.45c040bbb32a4fc5b5e53fee0bda6095/H660_DMSO_INPUT_S21_L001_R1_001.fastq.gz,,,
H660_T_FOXA1,1,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_T_F1-ds.7df376b499b34312bad4ee5076dce363/H660_T_F1_S15_L001_R1_001.fastq.gz,,FOXA1,H660_T_Input
H660_T_FOXA2,1,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_T_F2-ds.1d99cbf328c7442d90f6a2fcadfcc2be/H660_T_F2_S16_L001_R1_001.fastq.gz,,FOXA2,H660_T_Input
H660_T_FOXA1,2,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_T_FOXA1_REP_2-ds.ab06c1cea56741d694e0187de555c43c/H660_T_FOXA1_REP_2_S19_L001_R1_001.fastq.gz,,FOXA1,H660_T_Input
H660_T_FOXA2,2,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_T_FOXA2_REP_2-ds.67dced1e0bb447c28d85abc5d4c137cc/H660_T_FOXA2_REP_2_S20_L001_R1_001.fastq.gz,,FOXA2,H660_T_Input
H660_T_Input,1,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_T_INPUT-ds.09bb4c294d43439bbc2f1491c2dfb675/H660_T_INPUT_S22_L001_R1_001.fastq.gz,,,
H660_T_Input,2,/data/GT/chip_seq_25_07_2024/Formaggio_ChIP_12samples_25Luglio2024/H660_T_INPUT_REP_2-ds.870e484f2dfc4c6e9e735c7b40744213/H660_T_INPUT_REP_2_S24_L001_R1_001.fastq.gz,,,
