file,cellLine,treatment,target,replicate
./peaks/LNCAP_DMSO_CHIP_F1_R1_peaks.broadPeak,LnCaP,WT,FOXA1,1
./peaks/LNCAP_DMSO_FOXA1_REP2_S14_L001_R1_001_R1_peaks.broadPeak,LnCaP,WT,FOXA1,2
./peaks/LNCAP_T_FOXA1_REP2_S15_L001_R1_001_R1_peaks.broadPeak,LnCaP,T,FOXA1,2
./peaks/LNCAP_T_CHIP_F1_R1_peaks.broadPeak,LnCaP,T,FOXA1,1
./peaks/PC3_DMSO_F1_REP2_S16_L001_R1_001_R1_peaks.broadPeak,PC3,WT,FOXA1,2
./peaks/PC3_DMSO_F1_S20_L001_R1_001_R1_peaks.broadPeak,PC3,WT,FOXA1,1
./peaks/PC3_DMSO_F2_REP2_S17_L001_R1_001_R1_peaks.broadPeak,PC3,WT,FOXA2,2
./peaks/PC3_DMSO_F2_S21_L001_R1_001_R1_peaks.broadPeak,PC3,WT,FOXA2,1
./peaks/PC3_T_COMP_F1_S22_L001_R1_001_R1_peaks.broadPeak,PC3,T,FOXA1,1
./peaks/PC3_T_COMP_F2_S23_L001_R1_001_R1_peaks.broadPeak,PC3,T,FOXA2,1
./peaks/PC3_T_F1_REP2_S19_L001_R1_001_R1_peaks.broadPeak,PC3,T,FOXA1,2
./peaks/PC3_T_F2_REP2_S18_L001_R1_001_R1_peaks.broadPeak,PC3,T,FOXA2,2
./peaks/H660_DMSO_FOXA1_R1_peaks.narrowPeak,H660,DMSO,FOXA1,1
./peaks/H660_DMSO_FOXA2_R1_peaks.narrowPeak,H660,DMSO,FOXA2,1
./peaks/H660_DMSO_FOXA1_R2_peaks.narrowPeak,H660,DMSO,FOXA1,2
./peaks/H660_DMSO_FOXA2_R2_peaks.narrowPeak,H660,DMSO,FOXA2,2
./peaks/H660_T_FOXA1_R1_peaks.narrowPeak,H660,T,FOXA1,1
./peaks/H660_T_FOXA2_R1_peaks.narrowPeak,H660,T,FOXA2,1
./peaks/H660_T_FOXA1_R2_peaks.narrowPeak,H660,T,FOXA1,2
./peaks/H660_T_FOXA2_R2_peaks.narrowPeak,H660,T,FOXA2,2
